Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2018","Chlamydia trachomatis infection, Cum 2018, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2018","Coccidioidomycosis, Cum 2018, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag",Location 1,Location 2
MINNESOTA,2018,41,10,,455,,529,,17295,,18701,,,-,1,,7,,40,,52,,"MINNESOTA
(46.357661, -94.793397)",
NEW ENGLAND,2018,41,84,,875,,1252,,33084,,51139,,,-,0,,2,,4,,3,,,
NEW YORK CITY,2018,41,811,,1403,,1603,,57323,,57150,,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2018,41,10,,62,,86,,2447,,2562,,,-,0,,1,,1,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2018,41,29,,42,,79,,1622,,1609,,,-,0,,1,,1,,9,,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2018,41,15408,,32280,,36117,,1265947,,1343539,,187,,290,,549,,11281,,9267,,,
TENNESSEE,2018,41,233,,729,,844,,28426,,27586,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2018,41,695,,810,,1389,,31771,,30115,,175,,148,,314,,6117,,4420,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2018,41,374,,652,,852,,27066,,25862,,,-,0,,3,,25,,15,,"MISSOURI
(38.636168, -92.566292)",
GEORGIA,2018,41,386,,1144,,1466,,41720,,51745,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2018,41,207,,256,,464,,10526,,10546,,,-,1,,4,,36,,17,,"NEW MEXICO
(34.520396, -106.244402)",
AMER. SAMOA,2018,41,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
PENNSYLVANIA,2018,41,961,,1097,,1296,,44242,,44798,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MARYLAND,2018,41,67,,675,,1036,,25528,,24595,,,-,0,,2,,4,,6,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2018,41,,-,105,,335,,4930,,5400,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MOUNTAIN,2018,41,1963,,2364,,2956,,95306,,93243,,175,,151,,319,,6196,,4647,,,
E.S. CENTRAL,2018,41,556,,1842,,2758,,71443,,81073,,,-,0,,0,,,-,1,,,
MICHIGAN,2018,41,354,,940,,1192,,36427,,40203,,,-,1,,3,,25,,15,,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2018,41,1272,,5526,,6570,,219386,,223964,,12,,136,,280,,4947,,4483,,,
W.S. CENTRAL,2018,41,3075,,4172,,5985,,164997,,174058,,,-,0,,3,,14,,9,,,
ILLINOIS,2018,41,,-,1345,,1590,,46468,,60225,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW YORK,2018,41,966,,918,,2111,,36487,,34050,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
DELAWARE,2018,41,,-,101,,303,,3511,,4271,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MID. ATLANTIC,2018,41,2983,,4138,,4553,,165843,,164372,,,-,0,,0,,,-,,-,,
GUAM,2018,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
E.N. CENTRAL,2018,41,1562,,4525,,5466,,177567,,198117,,,-,1,,5,,47,,42,,,
FLORIDA,2018,41,1190,,2062,,2379,,80928,,78146,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2018,41,11,,16,,53,,561,,1449,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
DIST. OF COL.,2018,41,,-,122,,318,,3413,,7083,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MONTANA,2018,41,78,,97,,153,,3959,,3443,,,-,0,,2,,18,,13,,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2018,42,500,,595,,680,,24537,,23710,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK CITY,2018,42,936,,1403,,1603,,58918,,58604,,,N,0,,0,,,N,,N,,
NORTH CAROLINA,2018,42,1,,1245,,1407,,45054,,51430,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
W.N. CENTRAL,2018,42,718,,1976,,2262,,79804,,81062,,,-,2,,9,,70,,79,,,
WYOMING,2018,42,29,,42,,79,,1657,,1654,,,-,0,,1,,1,,9,,"WYOMING
(43.23558, -108.110518)",
NEW JERSEY,2018,42,222,,682,,783,,28346,,29028,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2018,42,3,,16,,53,,574,,1484,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
C.N.M.I.,2018,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2018,42,75,,72,,130,,3036,,3696,,,-,0,,1,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2018,42,190,,714,,910,,28402,,27848,,,-,0,,2,,10,,5,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2018,42,,-,313,,959,,7877,,12172,,,-,0,,2,,4,,4,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2018,42,91,,120,,195,,4567,,4919,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MID. ATLANTIC,2018,42,3083,,4138,,4579,,170083,,168617,,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2018,42,,-,62,,86,,2447,,2633,,,-,0,,1,,1,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2018,42,277,,645,,850,,26928,,27787,,,N,0,,2,,,N,,N,"INDIANA
(39.76845, -86.156212)",
MAINE,2018,42,,-,81,,142,,3101,,3621,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2018,42,351,,397,,738,,13726,,15845,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2018,42,,-,116,,167,,4588,,4742,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ARIZONA,2018,42,621,,807,,1388,,32509,,31241,,134,,148,,314,,6210,,4577,,"ARIZONA
(34.869712, -111.760902)",
NEBRASKA,2018,42,47,,159,,244,,6315,,6985,,,-,0,,1,,3,,4,,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2018,42,,-,321,,421,,13086,,13232,,,-,1,,9,,20,,129,,"NEVADA
(39.491833, -117.070159)",
E.S. CENTRAL,2018,42,625,,1824,,2758,,72098,,83775,,,-,0,,0,,,-,1,,,
UNITED STATES,2018,42,14428,,32428,,36117,,1300534,,1379656,,144,,288,,549,,11509,,9712,,,
KENTUCKY,2018,42,,-,264,,471,,8328,,15695,,,-,0,,0,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2018,42,95,,279,,340,,11188,,11151,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2018,42,66,,104,,532,,4115,,3967,,,-,0,,1,,3,,1,,"RHODE ISLAND
(41.707447, -71.522488)",
COLORADO,2018,42,436,,526,,951,,23447,,22500,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2018,42,1369,,2065,,2379,,83243,,80110,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2018,42,758,,806,,1425,,33454,,34575,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2018,42,435,,4403,,4950,,179427,,177933,,8,,131,,280,,5067,,4752,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2018,42,,-,77,,110,,2977,,3627,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2018,42,348,,1142,,1466,,42721,,53105,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
W.S. CENTRAL,2018,42,2698,,4232,,5980,,171168,,179299,,,-,0,,3,,14,,9,,,
MOUNTAIN,2018,42,1552,,2397,,2956,,98466,,96142,,134,,151,,319,,6289,,4806,,,
OHIO,2018,42,605,,1183,,1325,,48715,,50033,,1,,0,,5,,21,,19,,"OHIO
(40.056807, -82.405897)",
S. ATLANTIC,2018,42,2567,,6716,,7660,,266550,,285825,,,-,0,,2,,4,,8,,,
OKLAHOMA,2018,42,51,,319,,460,,12501,,17822,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2018,42,45,,70,,113,,2875,,3407,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2018,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2018,42,458,,526,,838,,21476,,26297,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2018,42,9,,457,,529,,17869,,19120,,,-,1,,7,,40,,55,,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2018,42,,-,1340,,1590,,47245,,61781,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW ENGLAND,2018,42,644,,879,,1252,,35363,,52276,,,-,0,,2,,4,,3,,,
MONTANA,2018,42,66,,97,,153,,4043,,3586,,,-,0,,2,,18,,13,,"MONTANA
(47.062617, -109.430168)",
TENNESSEE,2018,42,274,,729,,844,,28700,,28398,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2018,42,149,,270,,317,,11197,,11038,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2018,42,418,,647,,852,,27811,,26508,,,-,1,,3,,26,,15,,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2018,42,,-,650,,1082,,26081,,26117,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2018,42,46,,676,,1036,,26198,,25524,,,-,0,,2,,4,,8,,"MARYLAND
(39.290443, -76.612333)",
PENNSYLVANIA,2018,42,906,,1095,,1296,,45320,,45890,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2018,42,,-,99,,335,,4930,,5561,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
TEXAS,2018,42,2457,,2957,,4986,,122388,,121457,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
E.N. CENTRAL,2018,42,1254,,4523,,5466,,180924,,203108,,1,,1,,5,,49,,43,,,
CONNECTICUT,2018,42,,-,0,,234,,,U,15798,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2018,42,,-,116,,318,,3413,,7194,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2018,42,394,,376,,459,,15657,,15019,,1,,0,,3,,12,,11,,"OREGON
(44.567912, -120.156945)",
ALABAMA,2018,42,,-,526,,941,,21344,,23837,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2018,42,,-,100,,303,,3511,,4363,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2018,42,154,,253,,464,,10804,,10765,,,-,1,,4,,36,,17,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2018,42,114,,103,,244,,4861,,5229,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
UTAH,2018,42,155,,200,,247,,8353,,8245,,,-,0,,4,,4,,61,,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2018,42,372,,545,,652,,21609,,22328,,,-,0,,1,,2,,8,,"WISCONSIN
(44.395526, -89.834513)",
VIRGIN ISL.,2018,42,,-,8,,18,,277,,349,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PACIFIC,2018,42,1287,,5530,,6571,,226078,,229552,,9,,131,,280,,5079,,4763,,,
MICHIGAN,2018,42,,-,928,,1192,,36427,,41179,,,-,1,,3,,26,,16,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2018,42,1019,,918,,2111,,37499,,35095,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
AMER. SAMOA,2018,42,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
VIRGIN ISL.,2018,43,,-,8,,18,,277,,349,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MICHIGAN,2018,43,387,,930,,1193,,38389,,42245,,,-,1,,3,,27,,16,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2018,43,30,,77,,110,,3255,,3719,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2018,43,220,,682,,783,,28916,,29690,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
MISSISSIPPI,2018,43,,-,388,,738,,13726,,16583,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
W.S. CENTRAL,2018,43,2144,,4205,,5978,,174964,,183819,,,-,0,,3,,14,,9,,,
GUAM,2018,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
E.N. CENTRAL,2018,43,1585,,4505,,5466,,186588,,207984,,,-,1,,5,,53,,44,,,
KANSAS,2018,43,151,,270,,323,,11550,,11327,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
WYOMING,2018,43,27,,41,,79,,1707,,1701,,,-,0,,1,,1,,9,,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2018,43,35,,105,,532,,4167,,4090,,,-,0,,1,,4,,1,,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2018,43,150,,201,,248,,8586,,8465,,,-,0,,4,,4,,63,,"UTAH
(39.359772, -111.584173)",
VERMONT,2018,43,,-,15,,53,,574,,1524,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2018,43,,-,648,,1082,,26081,,26748,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MID. ATLANTIC,2018,43,2933,,4139,,4597,,174296,,172853,,,-,0,,0,,,-,,-,,
CALIFORNIA,2018,43,102,,4437,,4949,,184209,,182195,,6,,126,,263,,5269,,5015,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2018,43,13,,458,,529,,18474,,19591,,,-,1,,7,,40,,55,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2018,43,523,,518,,838,,21999,,26955,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
DIST. OF COL.,2018,43,,-,107,,318,,3413,,7440,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2018,43,,-,531,,941,,22091,,24778,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2018,43,1869,,3005,,4984,,124773,,124202,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2018,43,,-,262,,471,,8328,,15994,,,-,0,,0,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2018,43,1386,,2065,,2379,,85434,,82202,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
E.S. CENTRAL,2018,43,293,,1824,,2758,,73138,,86533,,,-,0,,0,,,-,1,,,
WEST VIRGINIA,2018,43,66,,69,,113,,2941,,3493,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
AMER. SAMOA,2018,43,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
ALASKA,2018,43,,-,116,,167,,4588,,4845,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW ENGLAND,2018,43,109,,875,,1252,,35492,,53456,,,-,0,,2,,5,,3,,,
NEBRASKA,2018,43,,-,157,,244,,6315,,7142,,,-,0,,1,,3,,4,,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2018,43,,-,316,,435,,13468,,13492,,,-,1,,9,,20,,132,,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2018,43,293,,725,,844,,28993,,29178,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
GEORGIA,2018,43,448,,1133,,1466,,43776,,54461,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
CONNECTICUT,2018,43,,-,0,,234,,,U,15997,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NORTH CAROLINA,2018,43,,-,1245,,1407,,46406,,52707,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
PACIFIC,2018,43,972,,5536,,6570,,231730,,235133,,6,,126,,264,,5280,,5026,,,
COLORADO,2018,43,609,,511,,951,,24056,,23087,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2018,43,90,,110,,244,,4967,,5304,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
W.N. CENTRAL,2018,43,589,,1972,,2262,,81803,,83193,,,-,2,,9,,70,,79,,,
MASSACHUSETTS,2018,43,,-,590,,680,,24537,,24295,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
ILLINOIS,2018,43,,-,1340,,1591,,48405,,63263,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2018,43,30,,97,,153,,4088,,3692,,,-,0,,2,,18,,13,,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2018,43,105,,256,,464,,11053,,11046,,,-,1,,4,,37,,17,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2018,43,625,,810,,1390,,33354,,32046,,181,,145,,314,,6382,,4717,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2018,43,383,,662,,852,,28504,,27253,,,-,1,,3,,26,,15,,"MISSOURI
(38.636168, -92.566292)",
NEW YORK CITY,2018,43,787,,1408,,1603,,60321,,60113,,,N,0,,0,,,N,,N,,
MOUNTAIN,2018,43,1546,,2400,,2957,,100879,,98585,,181,,148,,319,,6462,,4951,,,
LOUISIANA,2018,43,230,,706,,910,,29111,,28610,,,-,0,,2,,10,,5,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2018,43,,-,309,,645,,8326,,12762,,,-,0,,2,,4,,4,,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2018,43,,-,272,,340,,11188,,11455,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW YORK,2018,43,1024,,918,,2111,,38516,,36039,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2018,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2018,43,,-,80,,142,,3101,,3724,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2018,43,12,,61,,86,,2517,,2706,,,-,0,,1,,1,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2018,43,,-,120,,195,,4567,,5056,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
S. ATLANTIC,2018,43,2658,,6706,,7660,,273760,,293085,,,-,0,,1,,4,,8,,,
NEW HAMPSHIRE,2018,43,74,,72,,130,,3113,,3826,,,-,0,,1,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2018,43,12829,,32504,,35854,,1332650,,1414641,,187,,286,,549,,11888,,10121,,,
OREGON,2018,43,347,,377,,459,,16004,,15449,,,-,0,,3,,11,,11,,"OREGON
(44.567912, -120.156945)",
DELAWARE,2018,43,175,,107,,302,,4885,,4503,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2018,43,401,,547,,652,,22267,,22901,,,-,0,,1,,2,,9,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2018,43,516,,1188,,1325,,49884,,51253,,,-,0,,5,,21,,19,,"OHIO
(40.056807, -82.405897)",
INDIANA,2018,43,281,,643,,850,,27643,,28322,,,-,0,,2,,3,,,-,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2018,43,544,,806,,1425,,33995,,35333,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2018,43,45,,318,,459,,12754,,18245,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2018,43,39,,675,,1036,,26829,,26198,,,-,0,,1,,4,,8,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2018,43,,-,85,,335,,4930,,5689,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2018,43,902,,1100,,1296,,46543,,47011,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MID. ATLANTIC,2018,44,2827,,4126,,4593,,178244,,176967,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2018,44,662,,648,,1082,,26803,,27547,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2018,44,42,,77,,110,,3370,,3798,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2018,44,231,,705,,910,,29786,,29520,,,-,0,,2,,10,,6,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2018,44,1009,,918,,2111,,39450,,36941,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
NEW JERSEY,2018,44,203,,682,,784,,29424,,30327,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
E.S. CENTRAL,2018,44,266,,1930,,2687,,77524,,89220,,,-,0,,0,,,-,1,,,
MISSOURI,2018,44,338,,662,,852,,29136,,27893,,,-,1,,3,,26,,15,,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2018,44,32,,1240,,1407,,48482,,53952,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2018,44,51,,314,,459,,13051,,18704,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PACIFIC,2018,44,1270,,5531,,6567,,237869,,240502,,6,,126,,264,,5404,,5290,,,
ALASKA,2018,44,,-,116,,168,,4734,,4971,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
VERMONT,2018,46,8,,15,,53,,642,,1641,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
WYOMING,2018,44,38,,42,,79,,1792,,1757,,,-,0,,1,,1,,9,,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2018,44,,-,103,,532,,4167,,4197,,,-,0,,1,,4,,1,,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2018,44,8,,278,,340,,11623,,11772,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2018,44,70,,72,,116,,3184,,3903,,,-,0,,1,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2018,44,1219,,2055,,2379,,87262,,84380,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2018,44,,-,92,,318,,3413,,7661,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2018,44,329,,376,,459,,16333,,15795,,,-,0,,3,,11,,12,,"OREGON
(44.567912, -120.156945)",
NEW YORK CITY,2018,44,675,,1403,,1602,,61643,,61515,,,N,0,,0,,,N,,N,,
UNITED STATES,2018,44,15715,,32553,,36222,,1370321,,1449532,,6,,281,,549,,12015,,10606,,,
GUAM,2018,44,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2018,44,,-,590,,680,,24537,,24862,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
WASHINGTON,2018,44,835,,517,,838,,22834,,27550,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
S. ATLANTIC,2018,44,3563,,6702,,7660,,281379,,300584,,,-,0,,1,,4,,8,,,
MISSISSIPPI,2018,44,43,,424,,727,,17889,,17310,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
W.N. CENTRAL,2018,44,592,,1971,,2262,,83737,,85143,,,-,2,,9,,71,,83,,,
MINNESOTA,2018,44,,-,455,,529,,18474,,20049,,,-,1,,7,,40,,59,,"MINNESOTA
(46.357661, -94.793397)",
W.S. CENTRAL,2018,44,3717,,4160,,5978,,180387,,188856,,,-,0,,3,,14,,10,,,
KANSAS,2018,44,104,,270,,323,,11805,,11595,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2018,44,224,,255,,464,,11348,,11276,,,-,1,,4,,39,,18,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2018,44,13,,60,,86,,2563,,2761,,,-,0,,1,,1,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2018,44,,-,0,,234,,,U,16168,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2018,44,78,,120,,195,,4851,,5169,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2018,44,106,,4449,,4946,,189038,,186348,,6,,126,,263,,5393,,5278,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2018,44,,-,316,,435,,13468,,13802,,,-,0,,9,,20,,137,,"NEVADA
(39.491833, -117.070159)",
HAWAII,2018,44,,-,67,,335,,4930,,5838,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
VIRGIN ISL.,2018,44,,-,8,,18,,277,,349,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2018,44,,-,260,,471,,8328,,16404,,,-,0,,0,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
COLORADO,2018,44,566,,511,,951,,24622,,23584,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2018,44,384,,541,,652,,22826,,23403,,,-,0,,1,,2,,9,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2018,44,223,,721,,844,,29216,,29825,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
